Entry	Entry Name	Gene Names	Protein names	GeneID	Organism
Q9UGI0	ZRAN1_HUMAN	ZRANB1 TRABID	Ubiquitin thioesterase ZRANB1 (EC 3.4.19.12) (TRAF-binding domain-containing protein) (hTrabid) (Zinc finger Ran-binding domain-containing protein 1)	54764;	Homo sapiens (Human)
Q5FWF4	ZRAB3_HUMAN	ZRANB3	DNA annealing helicase and endonuclease ZRANB3 (Annealing helicase 2) (AH2) (Zinc finger Ran-binding domain-containing protein 3) [Includes: DNA annealing helicase ZRANB3 (EC 3.6.4.-); Endonuclease ZRANB3 (EC 3.1.-.-)]	84083;	Homo sapiens (Human)
O95218	ZRAB2_HUMAN	ZRANB2 ZIS ZNF265	Zinc finger Ran-binding domain-containing protein 2 (Zinc finger protein 265) (Zinc finger, splicing)	9406;	Homo sapiens (Human)
O75312	ZPR1_HUMAN	ZPR1 ZNF259	Zinc finger protein ZPR1 (Zinc finger protein 259)	8882;	Homo sapiens (Human)
Q8TCW7	ZPLD1_HUMAN	ZPLD1	Zona pellucida-like domain-containing protein 1 (ZP domain-containing protein 1) (Cupulin) [Cleaved into: Zona pellucida-like domain-containing protein 1, secreted form]	131368;	Homo sapiens (Human)
Q9UK55	ZPI_HUMAN	SERPINA10 ZPI UNQ707/PRO1358	Protein Z-dependent protease inhibitor (PZ-dependent protease inhibitor) (PZI) (Serpin A10)	51156;	Homo sapiens (Human)
Q6X784	ZPBP2_HUMAN	ZPBP2 ZPBPL	Zona pellucida-binding protein 2 (ZPBP-like protein)	124626;	Homo sapiens (Human)
Q9BS86	ZPBP1_HUMAN	ZPBP ZPBP1	Zona pellucida-binding protein 1 (Inner acrosomal membrane IAM38) (Sp38)	11055;	Homo sapiens (Human)
Q12836	ZP4_HUMAN	ZP4 ZPB	Zona pellucida sperm-binding protein 4 (Zona pellucida glycoprotein 4) (Zp-4) (Zona pellucida protein B) [Cleaved into: Processed zona pellucida sperm-binding protein 4]	57829;	Homo sapiens (Human)
P21754	ZP3_HUMAN	ZP3 ZP3A ZP3B ZPC	Zona pellucida sperm-binding protein 3 (Sperm receptor) (ZP3A/ZP3B) (Zona pellucida glycoprotein 3) (Zp-3) (Zona pellucida protein C) [Cleaved into: Processed zona pellucida sperm-binding protein 3]	7784;	Homo sapiens (Human)
Q05996	ZP2_HUMAN	ZP2 ZPA	Zona pellucida sperm-binding protein 2 (Zona pellucida glycoprotein 2) (Zp-2) (Zona pellucida protein A) [Cleaved into: Processed zona pellucida sperm-binding protein 2]	7783;	Homo sapiens (Human)
P60852	ZP1_HUMAN	ZP1	Zona pellucida sperm-binding protein 1 (Zona pellucida glycoprotein 1) (Zp-1) [Cleaved into: Processed zona pellucida sperm-binding protein 1]	22917;	Homo sapiens (Human)
O95049	ZO3_HUMAN	TJP3 ZO3	Tight junction protein ZO-3 (Tight junction protein 3) (Zona occludens protein 3) (Zonula occludens protein 3)	27134;	Homo sapiens (Human)
Q9UDY2	ZO2_HUMAN	TJP2 X104 ZO2	Tight junction protein ZO-2 (Tight junction protein 2) (Zona occludens protein 2) (Zonula occludens protein 2)	9414;	Homo sapiens (Human)
Q07157	ZO1_HUMAN	TJP1 ZO1	Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)	7082;	Homo sapiens (Human)
Q6PML9	ZNT9_HUMAN	SLC30A9 C4orf1 HUEL	Zinc transporter 9 (ZnT-9) (Human embryonic lung protein) (HuEL) (Solute carrier family 30 member 9)	10463;	Homo sapiens (Human)
Q8IWU4	ZNT8_HUMAN	SLC30A8 ZNT8	Zinc transporter 8 (ZnT-8) (Solute carrier family 30 member 8)	169026;	Homo sapiens (Human)
Q8NEW0	ZNT7_HUMAN	SLC30A7 ZNT7 ZNTL2	Zinc transporter 7 (ZnT-7) (Solute carrier family 30 member 7) (Znt-like transporter 2)	148867;	Homo sapiens (Human)
Q6NXT4	ZNT6_HUMAN	SLC30A6 ZNT6	Zinc transporter 6 (ZnT-6) (Solute carrier family 30 member 6)	55676;	Homo sapiens (Human)
Q8TAD4	ZNT5_HUMAN	SLC30A5 ZNT5 ZNTL1 ZTL1 UNQ863/PRO1879	Zinc transporter 5 (ZnT-5) (Solute carrier family 30 member 5) (ZnT-like transporter 1) (hZTL1)	64924;	Homo sapiens (Human)
O14863	ZNT4_HUMAN	SLC30A4 ZNT4	Zinc transporter 4 (ZnT-4) (Solute carrier family 30 member 4)	7782;	Homo sapiens (Human)
Q99726	ZNT3_HUMAN	SLC30A3 ZNT3	Zinc transporter 3 (ZnT-3) (Solute carrier family 30 member 3)	7781;	Homo sapiens (Human)
Q9BRI3	ZNT2_HUMAN	SLC30A2 ZNT2	Zinc transporter 2 (ZnT-2) (Solute carrier family 30 member 2)	7780;	Homo sapiens (Human)
Q9Y6M5	ZNT1_HUMAN	SLC30A1 ZNT1	Zinc transporter 1 (ZnT-1) (Solute carrier family 30 member 1)	7779;	Homo sapiens (Human)
Q6XR72	ZNT10_HUMAN	SLC30A10 ZNT10 ZNT8	Zinc transporter 10 (ZnT-10) (Manganese transporter SLC30A10) (Solute carrier family 30 member 10)	55532;	Homo sapiens (Human)
Q8WWF5	ZNRF4_HUMAN	ZNRF4 RNF204	E3 ubiquitin-protein ligase ZNRF4 (EC 2.3.2.27) (Nixin) (RING finger protein 204) (RING-type E3 ubiquitin transferase ZNRF4) (Zinc/RING finger protein 4)	148066;	Homo sapiens (Human)
Q9ULT6	ZNRF3_HUMAN	ZNRF3 KIAA1133 RNF203	E3 ubiquitin-protein ligase ZNRF3 (EC 2.3.2.27) (RING finger protein 203) (RING-type E3 ubiquitin transferase ZNRF3) (Zinc/RING finger protein 3)	84133;	Homo sapiens (Human)
Q8NHG8	ZNRF2_HUMAN	ZNRF2 RNF202	E3 ubiquitin-protein ligase ZNRF2 (EC 2.3.2.27) (Protein Ells2) (RING finger protein 202) (RING-type E3 ubiquitin transferase ZNRF2) (Zinc/RING finger protein 2)	223082;	Homo sapiens (Human)
Q8ND25	ZNRF1_HUMAN	ZNRF1 NIN283	E3 ubiquitin-protein ligase ZNRF1 (EC 2.3.2.27) (Nerve injury-induced gene 283 protein) (RING-type E3 ubiquitin transferase ZNRF1) (Zinc/RING finger protein 1)	84937;	Homo sapiens (Human)
O60232	ZNRD2_HUMAN	ZNRD2 SSSCA1	Protein ZNRD2 (Autoantigen p27) (Sjoegren syndrome/scleroderma autoantigen 1) (Zinc ribbon domain-containing protein 2)	10534;	Homo sapiens (Human)
A0A0U1RRA0	ZNOS_HUMAN	ZNF593OS	Putative transmembrane protein ZNF593OS (ZNF593 opposite strand protein)		Homo sapiens (Human)
Q15649	ZNHI3_HUMAN	ZNHIT3 TRIP3	Zinc finger HIT domain-containing protein 3 (HNF-4a coactivator) (Thyroid hormone receptor interactor 3) (Thyroid receptor-interacting protein 3) (TR-interacting protein 3) (TRIP-3)	9326;	Homo sapiens (Human)
Q9UHR6	ZNHI2_HUMAN	ZNHIT2 C11orf5	Zinc finger HIT domain-containing protein 2 (Protein FON)	741;	Homo sapiens (Human)
O43257	ZNHI1_HUMAN	ZNHIT1 CGBP1 ZNFN4A1	Zinc finger HIT domain-containing protein 1 (Cyclin-G1-binding protein 1) (Zinc finger protein subfamily 4A member 1) (p18 Hamlet)	10467;	Homo sapiens (Human)
Q9P2E3	ZNFX1_HUMAN	ZNFX1 KIAA1404	NFX1-type zinc finger-containing protein 1	57169;	Homo sapiens (Human)
Q0IIN9	ZNFS1_HUMAN	ZNF252P-AS1 C8orf77	Putative uncharacterized protein ZNF252P-AS1 (ZNF252P antisense RNA 1) (ZNF252P antisense gene protein 1)		Homo sapiens (Human)
Q6ZTR6	ZNFDT_HUMAN	ZNF516-DT C18orf65	Putative uncharacterized protein ZNF516-DT (ZNF516 divergent transcript)		Homo sapiens (Human)
A8MXY4	ZNF99_HUMAN	ZNF99 C19orf9	Zinc finger protein 99	7652;	Homo sapiens (Human)
A6NK75	ZNF98_HUMAN	ZNF98 ZNF739	Zinc finger protein 98 (Zinc finger protein 739) (Zinc finger protein F7175)	148198;	Homo sapiens (Human)
P35789	ZNF93_HUMAN	ZNF93 ZNF505	Zinc finger protein 93 (Zinc finger protein 505) (Zinc finger protein HTF34)	81931;	Homo sapiens (Human)
Q03936	ZNF92_HUMAN	ZNF92	Zinc finger protein 92 (Zinc finger protein HTF12)	168374;	Homo sapiens (Human)
Q05481	ZNF91_HUMAN	ZNF91	Zinc finger protein 91 (Zinc finger protein HPF7) (Zinc finger protein HTF10)	7644;	Homo sapiens (Human)
Q03938	ZNF90_HUMAN	ZNF90	Zinc finger protein 90 (Zinc finger protein HTF9)	7643;	Homo sapiens (Human)
P17098	ZNF8_HUMAN	ZNF8	Zinc finger protein 8 (Zinc finger protein HF.18)	7554;	Homo sapiens (Human)
Q03923	ZNF85_HUMAN	ZNF85	Zinc finger protein 85 (Zinc finger protein HPF4) (Zinc finger protein HTF1)	7639;	Homo sapiens (Human)
P51523	ZNF84_HUMAN	ZNF84	Zinc finger protein 84 (Zinc finger protein HPF2)	7637;	Homo sapiens (Human)
P51522	ZNF83_HUMAN	ZNF83 ZNF816B	Zinc finger protein 83 (Zinc finger protein 816B) (Zinc finger protein HPF1)	55769;	Homo sapiens (Human)
P51508	ZNF81_HUMAN	ZNF81	Zinc finger protein 81 (HFZ20)	347344;	Homo sapiens (Human)
P51504	ZNF80_HUMAN	ZNF80	Zinc finger protein 80 (ZNFpT17)	7634;	Homo sapiens (Human)
P17097	ZNF7_HUMAN	ZNF7 KOX4	Zinc finger protein 7 (Zinc finger protein HF.16) (Zinc finger protein KOX4)	7553;	Homo sapiens (Human)
Q15937	ZNF79_HUMAN	ZNF79	Zinc finger protein 79 (ZNFpT7)	7633;	Homo sapiens (Human)
Q15935	ZNF77_HUMAN	ZNF77	Zinc finger protein 77 (ZNFpT1)	58492;	Homo sapiens (Human)
P36508	ZNF76_HUMAN	ZNF76 D6S229E ZNF523	Zinc finger protein 76 (Zinc finger protein 523)	7629;	Homo sapiens (Human)
Q16587	ZNF74_HUMAN	ZNF74 ZNF520	Zinc finger protein 74 (Zinc finger protein 520) (hZNF7)	7625;	Homo sapiens (Human)
Q9NQZ8	ZNF71_HUMAN	ZNF71 EZFIT	Endothelial zinc finger protein induced by tumor necrosis factor alpha (Zinc finger protein 71)	58491;	Homo sapiens (Human)
Q9UC06	ZNF70_HUMAN	ZNF70	Zinc finger protein 70 (Zinc finger protein N27C7-1)	7621;	Homo sapiens (Human)
Q9UC07	ZNF69_HUMAN	ZNF69	Zinc finger protein 69 (hZNF3)	7620;	Homo sapiens (Human)
Q15940	ZNF67_HUMAN	ZNF726P1 ZNF67 ZNF67P	Putative zinc finger protein 726P1		Homo sapiens (Human)
Q6ZN08	ZNF66_HUMAN	ZNF66 ZNF66P	Putative zinc finger protein 66 (Zinc finger protein 66 pseudogene)		Homo sapiens (Human)
Q68EA5	ZNF57_HUMAN	ZNF57 ZNF424	Zinc finger protein 57 (Zinc finger protein 424)	126295;	Homo sapiens (Human)
Q96MX3	ZNF48_HUMAN	ZNF48 ZNF553	Zinc finger protein 48 (Zinc finger protein 553)	197407;	Homo sapiens (Human)
Q02386	ZNF45_HUMAN	ZNF45 KOX5 ZNF13	Zinc finger protein 45 (BRC1744) (Zinc finger protein 13) (Zinc finger protein KOX5)	7596;	Homo sapiens (Human)
P15621	ZNF44_HUMAN	ZNF44 GIOT2 KOX7 ZNF55 ZNF58	Zinc finger protein 44 (Gonadotropin-inducible ovary transcription repressor 2) (GIOT-2) (Zinc finger protein 55) (Zinc finger protein 58) (Zinc finger protein KOX7)	51710;	Homo sapiens (Human)
P17038	ZNF43_HUMAN	ZNF43 KOX27 ZNF39 ZNF39L1	Zinc finger protein 43 (Zinc finger protein 39) (Zinc finger protein HTF6) (Zinc finger protein KOX27)	7594;	Homo sapiens (Human)
P51814	ZNF41_HUMAN	ZNF41	Zinc finger protein 41	7592;	Homo sapiens (Human)
P17036	ZNF3_HUMAN	ZNF3 KOX25	Zinc finger protein 3 (Zinc finger protein HF.12) (Zinc finger protein HZF3.1) (Zinc finger protein KOX25)	7551;	Homo sapiens (Human)
P13682	ZNF35_HUMAN	ZNF35	Zinc finger protein 35 (Zinc finger protein HF.10)	7584;	Homo sapiens (Human)
Q8IZ26	ZNF34_HUMAN	ZNF34 KOX32	Zinc finger protein 34 (Zinc finger protein KOX32)	80778;	Homo sapiens (Human)
P17041	ZNF32_HUMAN	ZNF32 KOX30	Zinc finger protein 32 (C2H2-546) (Zinc finger protein KOX30)	7580;	Homo sapiens (Human)
P17039	ZNF30_HUMAN	ZNF30 KOX28	Zinc finger protein 30 (Zinc finger protein KOX28)	90075;	Homo sapiens (Human)
Q9BSG1	ZNF2_HUMAN	ZNF2 ZNF661	Zinc finger protein 2 (Zinc finger protein 2.2) (Zinc finger protein 661)	7549;	Homo sapiens (Human)
P17035	ZNF28_HUMAN	ZNF28 KOX24	Zinc finger protein 28 (Zinc finger protein KOX24)	7576;	Homo sapiens (Human)
P17031	ZNF26_HUMAN	ZNF26 KOX20	Zinc finger protein 26 (Zinc finger protein KOX20)	7574;	Homo sapiens (Human)
P17030	ZNF25_HUMAN	ZNF25 KOX19	Zinc finger protein 25 (Zinc finger protein KOX19)	219749;	Homo sapiens (Human)
P17028	ZNF24_HUMAN	ZNF24 KOX17 ZNF191 ZSCAN3	Zinc finger protein 24 (Retinoic acid suppression protein A) (RSG-A) (Zinc finger and SCAN domain-containing protein 3) (Zinc finger protein 191) (Zinc finger protein KOX17)	7572;	Homo sapiens (Human)
P17027	ZNF23_HUMAN	ZNF23 KOX16 ZNF359 ZNF612	Zinc finger protein 23 (Zinc finger protein 359) (Zinc finger protein 612) (Zinc finger protein KOX16)	7571;	Homo sapiens (Human)
P17026	ZNF22_HUMAN	ZNF22 KOX15 KROX26	Zinc finger protein 22 (Zinc finger protein KOX15) (Zinc finger protein Krox-26)	7570;	Homo sapiens (Human)
P17024	ZNF20_HUMAN	ZNF20 KOX13	Zinc finger protein 20 (Zinc finger protein KOX13)	7568;	Homo sapiens (Human)
P17023	ZNF19_HUMAN	ZNF19 KOX12	Zinc finger protein 19 (Zinc finger protein KOX12)	7567;	Homo sapiens (Human)
P17022	ZNF18_HUMAN	ZNF18 HDSG1 KOX11 ZKSCAN6 ZNF535	Zinc finger protein 18 (Heart development-specific gene 1 protein) (Zinc finger protein 535) (Zinc finger protein KOX11) (Zinc finger protein with KRAB and SCAN domains 6)	7566;	Homo sapiens (Human)
P17021	ZNF17_HUMAN	ZNF17 KIAA1947 KOX10	Zinc finger protein 17 (Zinc finger protein HPF3) (Zinc finger protein KOX10)	7565;	Homo sapiens (Human)
P17020	ZNF16_HUMAN	ZNF16 HZF1 KOX9	Zinc finger protein 16 (Zinc finger protein KOX9)	7564;	Homo sapiens (Human)
P17017	ZNF14_HUMAN	ZNF14 GIOT4 KOX6	Zinc finger protein 14 (Gonadotropin-inducible ovary transcription repressor 4) (GIOT-4) (Zinc finger protein KOX6)	7561;	Homo sapiens (Human)
P17014	ZNF12_HUMAN	ZNF12 GIOT3 KOX3 ZNF325	Zinc finger protein 12 (Gonadotropin-inducible ovary transcription repressor 3) (GIOT-3) (Zinc finger protein 325) (Zinc finger protein KOX3)	7559;	Homo sapiens (Human)
P21506	ZNF10_HUMAN	ZNF10 KOX1	Zinc finger protein 10 (Zinc finger protein KOX1)	7556;	Homo sapiens (Human)
A6NEH8	ZNAS2_HUMAN	ZNF503-AS2 C10orf41 NCRNA00245	Putative uncharacterized protein encoded by ZNF503-AS2 (ZNF503 antisense RNA 2)		Homo sapiens (Human)
Q8N0V1	ZNAS1_HUMAN	ZNF295-AS1 C21orf121 NCRNA00318 PRED87	Putative uncharacterized protein ZNF295-AS1 (ZNF295 antisense RNA 1) (ZNF295 antisense gene protein 1)		Homo sapiens (Human)
A8MT65	ZN891_HUMAN	ZNF891	Zinc finger protein 891	101060200;	Homo sapiens (Human)
P0CJ79	ZN888_HUMAN	ZNF888	Zinc finger protein 888	388559;	Homo sapiens (Human)
P0CG24	ZN883_HUMAN	ZNF883	Zinc finger protein 883	169834;	Homo sapiens (Human)
Q6PDB4	ZN880_HUMAN	ZNF880	Zinc finger protein 880	400713;	Homo sapiens (Human)
B4DU55	ZN879_HUMAN	ZNF879	Zinc finger protein 879	345462;	Homo sapiens (Human)
C9JN71	ZN878_HUMAN	ZNF878	Zinc finger protein 878	729747;	Homo sapiens (Human)
P10072	ZN875_HUMAN	ZNF875 HKR1	Zinc finger protein 875 (Krueppel-related zinc finger protein 1) (Protein HKR1)	284459;	Homo sapiens (Human)
P0CJ78	ZN865_HUMAN	ZNF865	Zinc finger protein 865	100507290;	Homo sapiens (Human)
O60290	ZN862_HUMAN	ZNF862 KIAA0543	Zinc finger protein 862	643641;	Homo sapiens (Human)
O60384	ZN861_HUMAN	ZNF861P	Putative zinc finger protein 861		Homo sapiens (Human)
A6NHJ4	ZN860_HUMAN	ZNF860	Zinc finger protein 860	344787;	Homo sapiens (Human)
P0CG23	ZN853_HUMAN	ZNF853	Zinc finger protein 853	54753;	Homo sapiens (Human)
Q6ZMS4	ZN852_HUMAN	ZNF852	Zinc finger protein 852	285346;	Homo sapiens (Human)
A8MQ14	ZN850_HUMAN	ZNF850	Zinc finger protein 850	342892;	Homo sapiens (Human)
Q147U1	ZN846_HUMAN	ZNF846	Zinc finger protein 846	162993;	Homo sapiens (Human)
Q96IR2	ZN845_HUMAN	ZNF845	Zinc finger protein 845	91664;	Homo sapiens (Human)
Q08AG5	ZN844_HUMAN	ZNF844	Zinc finger protein 844	284391;	Homo sapiens (Human)
Q8N446	ZN843_HUMAN	ZNF843	Zinc finger protein 843	283933;	Homo sapiens (Human)
Q6ZN19	ZN841_HUMAN	ZNF841	Zinc finger protein 841	284371;	Homo sapiens (Human)
A6NDX5	ZN840_HUMAN	ZNF840P C20orf157 ZNF840	Putative zinc finger protein 840 (Zinc finger protein 840 pseudogene)		Homo sapiens (Human)
A8K0R7	ZN839_HUMAN	ZNF839 C14orf131	Zinc finger protein 839 (Renal carcinoma antigen NY-REN-50)	55778;	Homo sapiens (Human)
Q96EG3	ZN837_HUMAN	ZNF837	Zinc finger protein 837	116412;	Homo sapiens (Human)
Q6ZNA1	ZN836_HUMAN	ZNF836	Zinc finger protein 836	162962;	Homo sapiens (Human)
Q9Y2P0	ZN835_HUMAN	ZNF835	Zinc finger protein 835	90485;	Homo sapiens (Human)
Q6ZTB9	ZN833_HUMAN	ZNF833P ZNF833	Putative zinc finger protein 833		Homo sapiens (Human)
Q5JPB2	ZN831_HUMAN	ZNF831 C20orf174	Zinc finger protein 831	128611;	Homo sapiens (Human)
Q96NB3	ZN830_HUMAN	ZNF830 CCDC16	Zinc finger protein 830 (Coiled-coil domain-containing protein 16)	91603;	Homo sapiens (Human)
Q3KNS6	ZN829_HUMAN	ZNF829	Zinc finger protein 829	374899;	Homo sapiens (Human)
Q17R98	ZN827_HUMAN	ZNF827	Zinc finger protein 827	152485;	Homo sapiens (Human)
Q6ZT77	ZN826_HUMAN	ZNF826P ZNF826	Putative zinc finger protein 826		Homo sapiens (Human)
P16415	ZN823_HUMAN	ZNF823 ZFP36	Zinc finger protein 823 (Zinc finger protein ZFP-36)	55552;	Homo sapiens (Human)
O75541	ZN821_HUMAN	ZNF821	Zinc finger protein 821	55565;	Homo sapiens (Human)
Q6ZRF7	ZN818_HUMAN	ZNF818P ZNF818	Putative zinc finger protein 818		Homo sapiens (Human)
Q0VGE8	ZN816_HUMAN	ZNF816 ZNF816A	Zinc finger protein 816	125893;	Homo sapiens (Human)
A8K554	ZN815_HUMAN	ZNF815P ZNF815	Putative protein ZNF815		Homo sapiens (Human)
B7Z6K7	ZN814_HUMAN	ZNF814	Zinc finger protein 814	730051;	Homo sapiens (Human)
Q6ZN06	ZN813_HUMAN	ZNF813	Zinc finger protein 813	126017;	Homo sapiens (Human)
Q8N4W9	ZN808_HUMAN	ZNF808	Zinc finger protein 808	388558;	Homo sapiens (Human)
Q5CZA5	ZN805_HUMAN	ZNF805	Zinc finger protein 805	390980;	Homo sapiens (Human)
Q2TB10	ZN800_HUMAN	ZNF800 PP902	Zinc finger protein 800	168850;	Homo sapiens (Human)
